complaint_month,n,any_relief_rate,monetary_relief_rate,non_monetary_relief_rate,timely_rate,mean_words,template_phrase_rate
2018-05,195,0.18461538461538463,0.035897435897435895,0.14871794871794872,0.9896373056994818,200.73333333333332,0.09743589743589744
2018-06,191,0.24083769633507854,0.07853403141361257,0.16230366492146597,0.9842931937172775,203.36125654450262,0.09947643979057591
2018-07,206,0.21359223300970873,0.038834951456310676,0.17475728155339806,0.9757281553398058,177.10679611650485,0.06310679611650485
2018-08,211,0.2037914691943128,0.061611374407582936,0.14218009478672985,0.9620853080568721,208.24170616113744,0.04265402843601896
2018-09,179,0.18435754189944134,0.0446927374301676,0.13966480446927373,0.9608938547486033,179.0223463687151,0.09497206703910614
2018-10,188,0.2127659574468085,0.06382978723404255,0.14893617021276595,0.9679144385026738,170.03191489361703,0.06382978723404255
2018-11,178,0.21348314606741572,0.0449438202247191,0.16853932584269662,0.9661016949152542,166.69101123595505,0.08426966292134831
2018-12,171,0.1695906432748538,0.04093567251461988,0.1286549707602339,0.9883040935672515,161.76023391812865,0.07017543859649122
2019-01,160,0.21875,0.06875,0.15,0.9874213836477987,172.2375,0.05625
2019-02,188,0.1595744680851064,0.026595744680851064,0.13297872340425532,0.9625668449197861,197.0212765957447,0.047872340425531915
2019-03,203,0.18226600985221675,0.029556650246305417,0.15270935960591134,0.9802955665024631,163.5960591133005,0.07881773399014778
2019-04,198,0.1919191919191919,0.03535353535353535,0.15656565656565657,0.9898477157360406,188.6818181818182,0.08585858585858586
2019-05,196,0.2653061224489796,0.07142857142857142,0.19387755102040816,1.0,173.85714285714286,0.09183673469387756
2019-06,209,0.19138755980861244,0.05741626794258373,0.1339712918660287,0.9904306220095693,161.65071770334927,0.05741626794258373
2019-07,213,0.18309859154929578,0.023474178403755867,0.1596244131455399,0.9906103286384976,179.28169014084506,0.07981220657276995
2019-08,254,0.21653543307086615,0.04330708661417323,0.1732283464566929,0.9880478087649402,182.74015748031496,0.07480314960629922
2019-09,214,0.2336448598130841,0.056074766355140186,0.17757009345794392,1.0,214.31308411214954,0.102803738317757
2019-10,215,0.19069767441860466,0.037209302325581395,0.15348837209302327,0.9953488372093023,144.26046511627908,0.13488372093023257
2019-11,213,0.19248826291079812,0.03286384976525822,0.1596244131455399,0.9859154929577465,156.32394366197184,0.17370892018779344
2019-12,211,0.1990521327014218,0.03317535545023697,0.16587677725118483,0.9715639810426541,188.25118483412322,0.2132701421800948
2020-01,242,0.19834710743801653,0.03305785123966942,0.1652892561983471,0.9917355371900827,168.05785123966942,0.0743801652892562
2020-02,206,0.21359223300970873,0.05825242718446602,0.1553398058252427,0.9902439024390244,168.07766990291262,0.1262135922330097
2020-03,260,0.1346153846153846,0.019230769230769232,0.11538461538461539,0.9923076923076923,193.96923076923076,0.08846153846153847
2020-04,300,0.12333333333333334,0.04666666666666667,0.07666666666666666,0.9966666666666667,180.78333333333333,0.12666666666666668
2020-05,342,0.0935672514619883,0.03216374269005848,0.06140350877192982,0.9912023460410557,161.7251461988304,0.14619883040935672
2020-06,328,0.13719512195121952,0.04573170731707317,0.09146341463414634,0.9908256880733946,170.4298780487805,0.08536585365853659
2020-07,352,0.10511363636363637,0.028409090909090908,0.07670454545454546,0.9886363636363636,160.57670454545453,0.07386363636363637
2020-08,309,0.061488673139158574,0.025889967637540454,0.03559870550161812,0.9901960784313726,165.63754045307442,0.10679611650485436
2020-09,294,0.07482993197278912,0.02040816326530612,0.05442176870748299,0.9897610921501706,151.29591836734693,0.06462585034013606
2020-10,316,0.11075949367088607,0.04746835443037975,0.06329113924050633,0.9968152866242038,155.60443037974684,0.11708860759493671
2020-11,274,0.10583941605839416,0.01824817518248175,0.08759124087591241,0.988929889298893,168.13868613138686,0.17518248175182483
2020-12,358,0.09497206703910614,0.0335195530726257,0.061452513966480445,0.994413407821229,165.62290502793297,0.10893854748603352
2021-01,346,0.08092485549132948,0.023121387283236993,0.057803468208092484,0.9971098265895953,169.04624277456648,0.13583815028901733
2021-02,319,0.09404388714733543,0.04075235109717868,0.05329153605015674,0.987460815047022,157.40438871473353,0.10344827586206896
2021-03,360,0.1,0.027777777777777776,0.07222222222222222,0.9888268156424581,202.3361111111111,0.4305555555555556
2021-04,321,0.12149532710280374,0.03115264797507788,0.09034267912772585,0.987460815047022,150.61370716510905,0.06542056074766354
2021-05,328,0.07621951219512195,0.021341463414634148,0.054878048780487805,0.9815950920245399,148.2591463414634,0.20121951219512196
2021-06,355,0.11267605633802817,0.016901408450704224,0.09577464788732394,0.9858356940509915,159.21971830985916,0.21690140845070421
2021-07,397,0.11083123425692695,0.027707808564231738,0.08312342569269521,0.9848101265822785,187.0302267002519,0.23929471032745592
2021-08,329,0.10638297872340426,0.03951367781155015,0.0668693009118541,0.9908814589665653,176.38297872340425,0.2765957446808511
2021-09,341,0.12023460410557185,0.03519061583577713,0.08504398826979472,0.9912023460410557,167.32551319648093,0.2903225806451613
2021-10,342,0.10818713450292397,0.02631578947368421,0.08187134502923976,0.9882352941176471,146.8187134502924,0.21637426900584794
2021-11,372,0.1586021505376344,0.043010752688172046,0.11559139784946236,0.9919137466307277,186.1747311827957,0.4596774193548387
2021-12,360,0.3111111111111111,0.027777777777777776,0.2833333333333333,0.9916201117318436,214.05833333333334,0.4
2022-01,403,0.2803970223325062,0.02481389578163772,0.2555831265508685,0.9875311720698254,180.73449131513647,0.19602977667493796
2022-02,446,0.3183856502242152,0.02914798206278027,0.289237668161435,0.9932432432432432,165.16816143497758,0.34080717488789236
2022-03,568,0.3221830985915493,0.01584507042253521,0.30633802816901406,0.9858657243816255,143.7799295774648,0.5035211267605634
2022-04,638,0.3338557993730408,0.02037617554858934,0.31347962382445144,0.9921135646687698,139.3793103448276,1.1567398119122256
